epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.529,1.60256,2.00442,1.64319,0.00031,0.05,0.00014,4e-05,5.62524,7015.46,67.7624,0.0706667,0.00325926,0.00325926
2,500.535,1.9075,2.01924,1.90354,0.00683,0.37941,0.00366,0.0008,3.89613,1001.71,48.1373,0.0406014,0.00652733,0.00652733
3,746.783,1.83833,1.85364,1.81133,0.006,0.22647,0.00245,0.00058,4.1343,1762.51,33.7539,0.0104701,0.00972939,0.00972939
4,989.768,1.77484,1.77842,1.7756,0.01686,0.32353,0.01322,0.00333,3.45955,95.7712,7.59538,0.009703,0.009703,0.009703
5,1229.35,1.7171,1.70029,1.71476,0.01126,0.08824,0.00511,0.00129,3.69908,39.6156,5.6425,0.009604,0.009604,0.009604
6,1471.02,1.6529,1.58501,1.6462,0.02988,0.12647,0.01385,0.00339,3.35572,7.55734,5.28843,0.009505,0.009505,0.009505
7,1717.81,1.55709,1.54796,1.59196,0.14972,0.26471,0.08654,0.02744,2.84595,4.26087,3.94807,0.009406,0.009406,0.009406
8,1972.27,1.52086,1.47131,1.57391,0.13189,0.20588,0.07017,0.02125,2.75888,4.33308,3.35753,0.009307,0.009307,0.009307
9,2237.88,1.48914,1.44963,1.53064,0.22479,0.24903,0.13016,0.0391,2.64305,3.03274,3.27348,0.009208,0.009208,0.009208
10,2480.85,1.45303,1.37771,1.49719,0.13908,0.28529,0.08276,0.02554,2.59797,3.87096,2.9927,0.009109,0.009109,0.009109
11,2728.52,1.47193,1.40525,1.50827,0.11573,0.14412,0.05558,0.01801,2.72494,4.31848,3.14591,0.00901,0.00901,0.00901
12,2971.42,1.42902,1.37119,1.47606,0.0826,0.23885,0.03654,0.00916,3.22185,8.07931,4.54163,0.008911,0.008911,0.008911
13,3210.5,1.47064,1.34975,1.48711,0.14427,0.22059,0.08627,0.03196,2.52482,4.86659,2.7953,0.008812,0.008812,0.008812
14,3470.87,1.3984,1.3158,1.41988,0.09705,0.12647,0.05656,0.01598,2.86306,3.57171,3.47625,0.008713,0.008713,0.008713
15,3765.82,1.39379,1.29715,1.4325,0.19106,0.24522,0.12038,0.04538,2.43889,3.27831,2.92279,0.008614,0.008614,0.008614
16,4040.57,1.32545,1.1983,1.40244,0.20307,0.3,0.1337,0.04584,2.38125,2.7603,2.7643,0.008515,0.008515,0.008515
17,4289.81,1.30954,1.17007,1.36691,0.28093,0.31471,0.20249,0.07901,2.25909,2.60327,2.63456,0.008416,0.008416,0.008416
18,4543.13,1.26616,1.18369,1.37773,0.28633,0.29118,0.1935,0.06722,2.42776,3.06431,2.86464,0.008317,0.008317,0.008317
19,4801.92,1.26304,1.13659,1.3472,0.3467,0.29118,0.19387,0.07518,2.37365,2.81617,2.75117,0.008218,0.008218,0.008218
20,5033.18,1.31199,1.20123,1.381,0.19434,0.29412,0.12053,0.03946,2.50662,3.40904,3.02737,0.008119,0.008119,0.008119
21,5264.76,1.26331,1.11616,1.35541,0.25493,0.23824,0.15497,0.06413,2.39948,3.3969,2.76466,0.00802,0.00802,0.00802
22,5531.55,1.31391,1.13749,1.37297,0.24889,0.27353,0.1619,0.06422,2.45438,3.02501,2.83789,0.007921,0.007921,0.007921
23,5797.82,1.23222,1.10283,1.32671,0.23394,0.3,0.1524,0.05823,2.33483,3.20639,2.77824,0.007822,0.007822,0.007822
24,6064.59,1.24262,1.13984,1.33377,0.33321,0.34099,0.23618,0.08983,2.26606,3.22571,2.75208,0.007723,0.007723,0.007723
25,6302.91,1.23991,1.1071,1.3506,0.25053,0.32353,0.19611,0.06836,2.45899,2.90909,2.90072,0.007624,0.007624,0.007624
26,6549.2,1.19267,1.05216,1.31106,0.34339,0.35882,0.21101,0.08471,2.25855,2.4657,2.64674,0.007525,0.007525,0.007525
27,6785.8,1.17472,1.05989,1.29485,0.32959,0.32941,0.236,0.09632,2.20634,2.82513,2.62753,0.007426,0.007426,0.007426
28,7037.96,1.20605,1.06153,1.32174,0.35656,0.37059,0.24741,0.08991,2.29412,2.49257,2.69422,0.007327,0.007327,0.007327
29,7289.1,1.19538,1.00217,1.31078,0.29977,0.38403,0.22792,0.08643,2.22868,2.46968,2.59074,0.007228,0.007228,0.007228
30,7560.24,1.20753,1.004,1.29459,0.30893,0.31555,0.19918,0.07596,2.30486,2.68904,2.67694,0.007129,0.007129,0.007129
31,7822.73,1.16842,1.03957,1.30758,0.28266,0.30882,0.17699,0.0754,2.15187,2.59714,2.49766,0.00703,0.00703,0.00703
32,8098.26,1.16907,1.02443,1.29656,0.36916,0.33529,0.27128,0.11407,2.21181,2.46185,2.54606,0.006931,0.006931,0.006931
33,8359.44,1.15957,0.98492,1.28865,0.24773,0.31176,0.17657,0.05883,2.28184,2.54095,2.60432,0.006832,0.006832,0.006832
34,8622.44,1.16198,1.01065,1.29001,0.34211,0.34118,0.23935,0.09947,2.15036,2.47779,2.50608,0.006733,0.006733,0.006733
35,8885.4,1.16208,1.01696,1.29956,0.2525,0.39118,0.21062,0.09177,2.12965,2.70083,2.51008,0.006634,0.006634,0.006634
36,9165.15,1.1462,1.01738,1.28011,0.28121,0.37647,0.21066,0.08355,2.07771,2.71745,2.37428,0.006535,0.006535,0.006535
37,9395.07,1.10669,0.92002,1.24627,0.38406,0.36862,0.23775,0.10902,2.23657,2.39053,2.55116,0.006436,0.006436,0.006436
38,9617.25,1.11834,0.96087,1.28754,0.4261,0.43235,0.35811,0.15104,2.04467,2.2477,2.38512,0.006337,0.006337,0.006337
39,9842.38,1.12355,0.95012,1.26466,0.31783,0.40588,0.27989,0.13079,1.94072,2.4415,2.30207,0.006238,0.006238,0.006238
40,10134.8,1.12873,0.93691,1.27078,0.39973,0.41471,0.31114,0.13841,1.98756,2.37125,2.34855,0.006139,0.006139,0.006139
41,10362.6,1.08884,0.91104,1.23809,0.44424,0.37353,0.33227,0.16134,1.99562,2.25596,2.35112,0.00604,0.00604,0.00604
